,SARAI Sites Soil Fertility Data,,,,,,,,,,,,,,,,
ID,Crop,pH,pH,Organic Matter  (OM) %,Nitrogen (N) %,Phosphorus (P) ppm,P Analysis,Potassium (K) cmolc/kg soil,Textural Grade,Remarks / Soil Fertility Constraint,Collaborator,Barangay,Municipality,Province,Latitude (N),Longitude (E),Date Sampled
28,Banana,5.9,Moderately acidic,medium,medium,low,Bray,high,Silt Loam,Highly suitable to Banana,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1554,121.1888,"October 2, 2018"
30,Banana,6.9,Neutral,medium,medium,high,Olsen,high,Clay Loam,"Highly suitable to Banana, monitor Zn level",University of the Philippines Los Baños (UPLB),UPLB Compound (Pili Drive),Los Banos,Laguna,14.1666,121.2511,"July 27, 2018"
31,Banana,6.9,Neutral,medium,medium,high,Olsen,high,Clay Loam,"Highly suitable to Banana, monitor Zn level",University of the Philippines Los Baños (UPLB),UPLB Compound (Pili Drive),Los Banos,Laguna,14.1666,121.2511,"July 27, 2018"
32,Banana,6.1,Slightly acidic,medium,medium,high,Olsen,high,Clay,drainage should be checked for possibility of water logging.,University of the Philippines Los Baños (UPLB),UPLB Compound (Pili Drive),Los Banos,Laguna,14.1666,121.2511,"July 27, 2018"
33,Banana,6.3,Slightly acidic,medium,medium,high,Olsen,medium,Clay Loam,"Highly suitable, addional K will also give response",University of the Philippines Los Baños (UPLB),UPLB Compound (Pili Drive),Los Banos,Laguna,14.1666,121.2511,"July 27, 2018"
34,Banana,6.4,Slightly acidic,medium,medium,high,Olsen,high,Clay Loam,Highly suitable,University of the Philippines Los Baños (UPLB),UPLB Compound (Pili Drive),Los Banos,Laguna,14.1666,121.2511,"July 27, 2018"
35,Banana,5.0,Very strongly acidic,medium,medium,low,Bray,low,Sandy Loam,"low K and P, low pH may limit Mg availability.",Isabela State University (ISU),San Jose,Jones,Isabela,16.6994,121.6583,"August 15, 2018"
36,Banana,5.2,Strongly acidic,low,low,low,Bray,low,Sandy Clay Loam,"very low N, P and K; low pH may limit Mg availability.",Isabela State University (ISU),San Jose,Jones,Isabela,16.6994,121.6583,"August 15, 2018"
37,Banana,5.6,Moderately acidic,low,low,low,Bray,low,Sandy Clay Loam,"low P,K;  low pH may limit P ",Isabela State University (ISU),San Jose,Jones,Isabela,16.5758,121.6906,"August 15, 2018"
38,Banana,4.8,Very strongly acidic,medium,medium,low,Bray,low,Sandy Clay Loam,low K; low pH may limit P and Mg availability.,Isabela State University (ISU),San Jose,Jones,Isabela,16.5758,121.6906,"August 15, 2018"
39,Banana,5.4,Strongly acidic,medium,medium,high,Bray,high,Loam,suitable to banana; low pH may limit Mg availability.,Isabela State University (ISU),Narra,Echague,Isabela,16.7294,121.6883,"August 15, 2018"
40,Banana,6.0,Moderately acidic,low,low,low,Bray,high,Clay Loam,"low N,P",Isabela State University (ISU),Narra,Echague,Isabela,16.7294,121.6883,"August 15, 2018"
41,Banana,4.5,Very strongly acidic,high,high,low,Bray,low,Clay Loam,low P and K; apply sufficient amount of P and K; low pH may limit Mg availability,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1871,121.2036,"August 21, 2018"
42,Banana,4.5,Very strongly acidic,medium,medium,low,Bray,low,Clay,low P and K; apply sufficient amount of P and K; low pH may limit Mg availability,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1871,121.2120,"August 21, 2018"
43,Banana,4.5,Very strongly acidic,high,high,low,Bray,low,Loam,low P and K; apply sufficient amount of P and K; low pH may limit Mg availability,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1811,121.1924,"August 21, 2018"
44,Banana,4.8,Very strongly acidic,medium,medium,low,Bray,low,Clay Loam,low P and K; apply sufficient amount of P and K; low pH may limit Mg availability,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1811,121.1924,"August 21, 2018"
45,Banana,4.4,Extremely acidic,high,medium,low,Bray,medium,Clay Loam,low P ; apply sufficient amount of P and K; low pH may limit Mg availability,Mindoro State College of Agriculture and Technology (MinSCAT),Antonio,Victoria,Oriental Mindoro,13.1870,121.2131,"August 21, 2018"
46,Banana,4.7,Very strongly acidic,medium,medium,low,Bray,medium,Clay Loam,low P; apply sufficient amount of P and K; low pH may limit Mg availability,Mindoro State College of Agriculture and Technology (MinSCAT),Antonio,Victoria,Oriental Mindoro,13.1870,121.2131,"August 21, 2018"
