ID,Crop,pH,pH,Organic Matter  (OM) %,Nitrogen (N) %,Phosphorus (P) ppm,P Analysis,Potassium (K) cmolc/kg soil,Zinc (Zn) ppm,Textural Grade,Remarks / Soil Fertility Constraint,Lab No.,Sample Code,Collaborator,Barangay,Municipality,Province,Latitude ( N),Longitude (E),Date Sampled,Depth (cm)
22,Rice,7.3,Neutral,medium,medium,high,Olsen,high,low,Loam,"texture, Zn, and low N",S-1535,22,Bicol University (BU),Tula-tula Grande,Ligao,Albay,13.2086,123.4814,"August 23, 2018",-
24,Rice,5.9,Moderately acidic,medium,medium,low,Bray,med,-,Silt Loam,"texture,  low N, P",S-1537,24,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1878,121.1994,"October 2, 2018",-
25,Rice,5.7,Moderately acidic,medium,medium,low,Bray,low,-,Silt Loam,"texture,  low N,  P, and K",S-1538,25,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1884,121.2009,"October 2, 2018",-
26,Rice,5.9,Moderately acidic,medium,medium,low,Bray,medium,-,Silt Loam,"texture,  low N, P",S-1539,26,Mindoro State College of Agriculture and Technology (MinSCAT),Alcate,Victoria,Oriental Mindoro,13.1888,121.1994,"October 2, 2018",-
118,Rice,5.9,Moderately acidic,medium,medium,high,Bray,high,-,Sandy Loam,"texture,  low N ",S-350,118,Bicol University (BU),Tuburan,Ligao,Bicol,13.2334,123.5532,"November 29, 2018",-
119,Rice,6.1,Slightly acidic,medium,medium,high,Olsen,high,-,Sandy Loam,"texture, ",S-351,119,Bicol University (BU),Tuburan,Ligao,Bicol,13.2319,123.5535,"November 29, 2018",-
120,Rice,6.0,Moderately acidic,medium,low,high,Bray,medium,-,Sandy Loam,"texture, ",S-352,120,Bicol University (BU),Tuburan,Ligao,Bicol,13.2319,123.5542,"November 30, 2018",-
121,Rice,5.9,Moderately acidic,medium,medium,high,Bray,high,-,Sandy Loam,"texture, acidic Ca and Mg may be limiting",S-353,121,Bicol University (BU),Tuburan,Ligao,Bicol,13.2340,123.5542,"November 29, 2018",-
122,Rice,6.1,Slightly acidic,medium,medium,high,Olsen,medium,-,Sandy Loam,"texture, low P,",S-354,122,Bicol University (BU),Tuburan,Ligao,Bicol,13.2349,123.5520,"November 30, 2018",-
124,Rice,5.9,Moderately acidic,medium,medium,high,Bray,high,-,Sandy Loam,"texture, acidic Ca and Mg may be limiting",S-356,124,Bicol University (BU),Tuburan,Ligao,Bicol,13.2319,123.5541,"November 30, 2018",-
125,Rice,6.0,Moderately acidic,low,low,high,Bray,high,-,Sandy Loam,"texture, low N",S-357,125,Bicol University (BU),Tuburan,Ligao,Bicol,13.2333,123.5538,"November 29, 2018",-
126,Rice,7.4,Slightly alkali,low,low,high,Olsen,medium,-,Clay,"apply N, high pH should check for Fe and Cu availability",S-358,126,Cebu Technological University (CTU),CTU Campus,Barili,Cebu,10.1329,123.5478,"December 8, 2018",-
127,Rice,7.6,Slightly alkali,low,low,high,Olsen,medium,-,Clay,"apply N, high pH should check for Fe and Cu availability",S-359,127,Cebu Technological University (CTU),Bagakay,Barili,Cebu,10.1046,123.5478,"December 7, 2018",-
128,Rice,7.7,Slightly alkali,low,low,high,Olsen,medium,-,Clay,"apply N, high pH should check for Fe and Cu availability",S-360,128,Cebu Technological University (CTU),Gunting,Barili,Cebu,10.0979,123.5256,"December 7, 2018",-
129,Rice,7.9,Moderately alkali,low,low,high,Olsen,medium,-,Clay,"apply N, high pH should check for Fe and Cu availability",S-361,129,Cebu Technological University (CTU),Tal-ot,Barili,Cebu,10.1205,123.5721,"December 8, 2018",-
